txn_id	timestamp	user_id	amount	merchant_category	channel	is_fraud
1	1/1/2023 9:05	183	18.91	Restaurants	UPI	0
2	1/1/2023 9:15	220	33.49	Utility Bills	Credit Card	0
3	1/1/2023 9:15	460	18.82	Medical	UPI	0
4	1/1/2023 9:27	256	38.09	Electronics	UPI	0
5	1/1/2023 9:28	102	45.11	Fashion	NetBanking	0
6	1/1/2023 9:29	177	17.93	Travel	Credit Card	0
7	1/1/2023 9:39	453	44.52	Fashion	UPI	0
8	1/1/2023 9:42	405	226.97	Utility Bills	NetBanking	0
9	1/1/2023 9:43	139	52.26	Fashion	UPI	0
10	1/1/2023 9:44	81	141.76	Grocery	Credit Card	0
11	1/1/2023 9:45	323	57.15	Fashion	Debit Card	0
12	1/1/2023 9:46	282	347.53	Fashion	Debit Card	0
13	1/1/2023 9:54	131	139.21	Medical	Debit Card	0
14	1/1/2023 9:55	494	36.26	Travel	Debit Card	0
15	1/1/2023 9:58	479	101.24	Restaurants	Credit Card	0
16	1/1/2023 9:59	459	36.63	Grocery	UPI	0
17	1/1/2023 10:17	349	17.54	Fuel	Credit Card	0
18	1/1/2023 10:19	9	11.63	Fuel	UPI	0
19	1/1/2023 10:21	452	38.77	Travel	UPI	0
20	1/1/2023 10:22	153	21.13	Travel	UPI	0
21	1/1/2023 10:23	145	12.67	Medical	UPI	0
22	1/1/2023 10:23	349	39.68	Fuel	UPI	0
23	1/1/2023 10:25	122	19.07	Restaurants	Debit Card	0
24	1/1/2023 10:25	224	22.67	Restaurants	UPI	0
25	1/1/2023 10:26	72	20.07	Utility Bills	Credit Card	0
26	1/1/2023 10:29	298	13.92	Medical	UPI	0
27	1/1/2023 10:29	285	87.61	Restaurants	UPI	0
28	1/1/2023 10:32	320	81.37	Travel	Debit Card	0
29	1/1/2023 10:36	147	34.16	Utility Bills	UPI	0
30	1/1/2023 10:44	1	11.76	Fuel	NetBanking	0
31	1/1/2023 10:46	340	12.28	Fuel	UPI	0
32	1/1/2023 10:48	313	299.54	Grocery	UPI	0
33	1/1/2023 10:51	489	60.64	Utility Bills	NetBanking	0
34	1/1/2023 10:54	223	79.47	Grocery	UPI	0
35	1/1/2023 10:59	150	11.82	Electronics	UPI	1
36	1/1/2023 10:59	95	38.84	Fashion	Debit Card	0
37	1/1/2023 11:01	153	26.14	Medical	NetBanking	0
38	1/1/2023 11:02	78	61.82	Restaurants	UPI	0
39	1/1/2023 11:05	22	37.37	Restaurants	NetBanking	0
40	1/1/2023 11:06	339	37.53	Restaurants	Credit Card	0
41	1/1/2023 11:09	119	20.62	Fuel	Credit Card	0
42	1/1/2023 11:10	454	57.08	Utility Bills	UPI	0
43	1/1/2023 11:12	249	50.93	Restaurants	NetBanking	0
44	1/1/2023 11:14	457	72.87	Grocery	UPI	0
45	1/1/2023 11:15	292	68.32	Grocery	UPI	0
46	1/1/2023 11:17	483	39.03	Utility Bills	Debit Card	0
47	1/1/2023 11:17	243	20.23	Medical	Debit Card	0
48	1/1/2023 11:19	369	41.85	Fashion	Credit Card	0
49	1/1/2023 11:19	471	24.62	Fashion	Credit Card	0
50	1/1/2023 11:20	84	19.19	Fuel	Debit Card	0
51	1/1/2023 11:29	7	11.27	Travel	UPI	0
52	1/1/2023 11:30	482	35.6	Utility Bills	Credit Card	0
53	1/1/2023 11:36	339	66.24	Electronics	NetBanking	0
54	1/1/2023 11:40	424	109.36	Electronics	UPI	0
55	1/1/2023 11:44	59	50.38	Grocery	Debit Card	0
56	1/1/2023 11:44	445	26.68	Electronics	Debit Card	0
57	1/1/2023 11:47	486	24.01	Electronics	UPI	0
58	1/1/2023 11:58	486	21.19	Fuel	UPI	0
59	1/1/2023 11:59	477	44.43	Grocery	Debit Card	0
60	1/1/2023 12:01	81	96.05	Electronics	UPI	0
61	1/1/2023 12:03	424	31.18	Grocery	NetBanking	0
62	1/1/2023 12:06	101	25.93	Utility Bills	UPI	0
63	1/1/2023 12:08	54	105.78	Fuel	Debit Card	0
64	1/1/2023 12:19	231	29.27	Grocery	NetBanking	0
65	1/1/2023 12:23	443	48.52	Fashion	Credit Card	0
66	1/1/2023 12:25	68	35.94	Fashion	Debit Card	0
67	1/1/2023 12:32	365	73.99	Fashion	Credit Card	0
68	1/1/2023 12:34	256	33.16	Utility Bills	UPI	0
69	1/1/2023 12:38	10	34.69	Fuel	UPI	0
70	1/1/2023 12:42	150	62.25	Medical	UPI	0
71	1/1/2023 12:47	51	14.5	Fuel	UPI	0
72	1/1/2023 12:53	337	53.82	Grocery	Credit Card	0
73	1/1/2023 12:57	341	35.16	Travel	Debit Card	0
74	1/1/2023 12:58	182	20.67	Electronics	Credit Card	0
75	1/1/2023 13:08	146	55.18	Restaurants	Debit Card	0
76	1/1/2023 13:20	477	66.9	Fashion	Debit Card	0
77	1/1/2023 13:20	499	59.7	Fuel	NetBanking	0
78	1/1/2023 13:34	179	31.31	Fuel	NetBanking	0
79	1/1/2023 13:35	145	47.82	Utility Bills	UPI	0
80	1/1/2023 13:42	213	10.58	Utility Bills	Credit Card	0
81	1/1/2023 13:44	314	36.39	Fashion	Debit Card	0
82	1/1/2023 13:50	358	17.63	Grocery	Debit Card	0
83	1/1/2023 13:52	108	62.06	Fashion	Debit Card	0
84	1/1/2023 13:53	282	50.2	Fashion	UPI	0
85	1/1/2023 13:54	109	12.62	Restaurants	UPI	0
86	1/1/2023 13:55	205	161.75	Utility Bills	UPI	0
87	1/1/2023 14:00	6	128.14	Grocery	UPI	0
88	1/1/2023 14:01	89	53.47	Fuel	UPI	0
89	1/1/2023 14:09	49	34.26	Grocery	UPI	0
